"","A-1","A-2","B","C","D","E","F","G","H","I","J","K-1","K-2"
"MTND1P23","MTCO1P12","PLCH2","CHD5","PLA2G2A","CELA3A","ADAMTS4","ACTA1","VIT","IGKC","CYP21A1P","DACT2","XIST","RPS4Y1"
"MTCO3P12","CHI3L2","UTS2","EPHA8","CHI3L1","REG1B","SELE","KRT2","CIDEC","IGKV1-5","STK19B","CYP3A4","","ZFY"
"LPAR3","MARCO","NKAIN1","GRIK3","REG3A","REG1A","CXCL8","KRT1","ADIPOQ","IGKV3-20","CYP11B2","C9orf84","","PRKY"
"GSTM1","SLC40A1","CTH","HPCAL4","PTX3","CLPS","CXCL1","MYL2","SFRP2","JCHAIN","AQP2","DCC","","TTTY15"
"CRP","C4A","RGS1","ELAVL4","PI15","PGC","AREG","MYH6","FABP4","IGHG4","MC2R","KLK4","","USP9Y"
"RP11-343H5.4","TMEM229A","ATF3","SLC6A17","CCL19","CPA1","IL6","MYH7","THRSP","IGHG2","VPREB3","KIAA1210","","DDX3Y"
"SUSD4","AKR1B10","RP11-373D23.2","CELF3","SAA2","PRSS1","STC1","CKM","PLIN1","IGHA1","","","","UTY"
"RRM2","SERPINA3","NR4A2","BCAN","SAA1","PRSS2","","","TUSC5","IGHG1","","","","TMSB4Y"
"ACTG2","SLC27A2","C2orf66","NTRK1","HP","LIPF","","","PCK1","IGHG3","","","","NLGN4Y"
"LINC01291","CREB3L3","CAMK2N2","INSRR","","PNLIP","","","","IGHM","","","","TTTY14"
"REG3G","LRG1","DUSP1","FAM163A","","GP2","","","","IGLV1-51","","","","TXLNGY"
"PAX8-AS1","KCNS1","HSPA1A","PRG4","","","","","","IGLV2-14","","","","RP11-424G14.1"
"DES","VEGFD","KCNK5","GNG4","","","","","","IGLC1","","","","KDM5D"
"ESPNL","","KRT8P42","ADD2","","","","","","IGLC2","","","","EIF1AY"
"LRRC2","","LINC00473","ACVR1C","","","","","","IGLC3","","","",""
"TDGF1","","EVX1","SLC38A11","","","","","","","","","",""
"COL6A4P2","","EGR3","PTPRN","","","","","","","","","",""
"UCHL1","","GEM","SCG2","","","","","","","","","",""
"SPP1","","NR4A3","RAMP1","","","","","","","","","",""
"ETNPPL","","C8G","KIF1A","","","","","","","","","",""
"FGA","","DUSP5","LHFPL4","","","","","","","","","",""
"FGG","","HBB","CADPS","","","","","","","","","",""
"HPGD","","C11orf86","CNTN3","","","","","","","","","",""
"RPL10P9","","SYT12","CADM2","","","","","","","","","",""
"PRL","","NR4A1","TAGLN3","","","","","","","","","",""
"HLA-U","","RP11-1100L3.8","SLC7A14","","","","","","","","","",""
"TNXA","","SDS","SST","","","","","","","","","",""
"HLA-DQA2","","CYP19A1","NSG1","","","","","","","","","",""
"HLA-DQB2","","CPLX3","JAKMIP1","","","","","","","","","",""
"GSTA9P","","HBA2","PPP2R2C","","","","","","","","","",""
"NUPR2","","HBA1","GRIA2","","","","","","","","","",""
"PON1","","MT1A","SPOCK3","","","","","","","","","",""
"CHRNA2","","PABPN1L","HAND2","","","","","","","","","",""
"FAM83A","","RASD1","HAND2-AS1","","","","","","","","","",""
"CCL21","","CSF3","RAB3C","","","","","","","","","",""
"ORM1","","CBARP","CARTPT","","","","","","","","","",""
"LCN2","","FOSB","PCSK1","","","","","","","","","",""
"HMCN2","","ZNF331","HMP19","","","","","","","","","",""
"KRT4","","CDH4","CPLX2","","","","","","","","","",""
"PAH","","CH507-42P11.8","UNC5A","","","","","","","","","",""
"ACTC1","","CITED1","TMEM151B","","","","","","","","","",""
"SSTR5-AS1","","","SNAP91","","","","","","","","","",""
"ZG16B","","","GRIK2","","","","","","","","","",""
"NPIPB2","","","CD24","","","","","","","","","",""
"RP11-958N24.2","","","RFX6","","","","","","","","","",""
"NPIPB15","","","ARFGEF3","","","","","","","","","",""
"SLC13A5","","","NPY","","","","","","","","","",""
"CCDC144A","","","ADCYAP1R1","","","","","","","","","",""
"USP32P1","","","CAMK2B","","","","","","","","","",""
"RPL13P12","","","DDC","","","","","","","","","",""
"USP32P2","","","VSTM2A","","","","","","","","","",""
"CTD-2303H24.2","","","TMEM130","","","","","","","","","",""
"SNORD3A","","","VGF","","","","","","","","","",""
"TBC1D3L","","","RELN","","","","","","","","","",""
"KRT13","","","DPP6","","","","","","","","","",""
"GH1","","","SLC18A1","","","","","","","","","",""
"NPTX1","","","NEFL","","","","","","","","","",""
"PLPP2","","","PENK","","","","","","","","","",""
"CYP4F11","","","PKIA","","","","","","","","","",""
"LINC01595","","","STMN2","","","","","","","","","",""
"TNNI3","","","COL22A1","","","","","","","","","",""
"CST2","","","KCNK9","","","","","","","","","",""
"CYP4F29P","","","ARC","","","","","","","","","",""
"SIK1","","","SLC24A2","","","","","","","","","",""
"PWP2","","","BRINP1","","","","","","","","","",""
"C21orf33","","","DBH","","","","","","","","","",""
"AP000350.5","","","CACNA1B","","","","","","","","","",""
"GSTT2","","","RET","","","","","","","","","",""
"AP000351.4","","","OGDHL","","","","","","","","","",""
"GPX1P1","","","CDHR1","","","","","","","","","",""
"MXRA5Y","","","SFRP5","","","","","","","","","",""
"","","","INA","","","","","","","","","",""
"","","","NEURL1","","","","","","","","","",""
"","","","SORCS3","","","","","","","","","",""
"","","","SLC18A2","","","","","","","","","",""
"","","","ADGRA1","","","","","","","","","",""
"","","","CALY","","","","","","","","","",""
"","","","CEND1","","","","","","","","","",""
"","","","TH","","","","","","","","","",""
"","","","ABCC8","","","","","","","","","",""
"","","","CNIH2","","","","","","","","","",""
"","","","PHOX2A","","","","","","","","","",""
"","","","GRIA4","","","","","","","","","",""
"","","","DRD2","","","","","","","","","",""
"","","","SCN3B","","","","","","","","","",""
"","","","B3GAT1","","","","","","","","","",""
"","","","PIANP","","","","","","","","","",""
"","","","NELL2","","","","","","","","","",""
"","","","PRPH","","","","","","","","","",""
"","","","FAIM2","","","","","","","","","",""
"","","","KIF5A","","","","","","","","","",""
"","","","SYT1","","","","","","","","","",""
"","","","PPFIA2","","","","","","","","","",""
"","","","RPH3A","","","","","","","","","",""
"","","","RIMBP2","","","","","","","","","",""
"","","","NRXN3","","","","","","","","","",""
"","","","CHGA","","","","","","","","","",""
"","","","PRIMA1","","","","","","","","","",""
"","","","SCG5","","","","","","","","","",""
"","","","SCG3","","","","","","","","","",""
"","","","STRA6","","","","","","","","","",""
"","","","CHRNA3","","","","","","","","","",""
"","","","CHRNB4","","","","","","","","","",""
"","","","FBXL16","","","","","","","","","",""
"","","","SYNGR3","","","","","","","","","",""
"","","","TOX3","","","","","","","","","",""
"","","","SLC6A2","","","","","","","","","",""
"","","","SRCIN1","","","","","","","","","",""
"","","","PPP1R1B","","","","","","","","","",""
"","","","PNMT","","","","","","","","","",""
"","","","KRT19","","","","","","","","","",""
"","","","CELF4","","","","","","","","","",""
"","","","SYT4","","","","","","","","","",""
"","","","ST8SIA3","","","","","","","","","",""
"","","","APC2","","","","","","","","","",""
"","","","ZFR2","","","","","","","","","",""
"","","","ATCAY","","","","","","","","","",""
"","","","APLP1","","","","","","","","","",""
"","","","ATP1A3","","","","","","","","","",""
"","","","SLC8A2","","","","","","","","","",""
"","","","LRRC4B","","","","","","","","","",""
"","","","SYT5","","","","","","","","","",""
"","","","CHGB","","","","","","","","","",""
"","","","SNAP25","","","","","","","","","",""
"","","","PCSK2","","","","","","","","","",""
"","","","BMP7","","","","","","","","","",""
"","","","KCNQ2","","","","","","","","","",""
"","","","GRIK1","","","","","","","","","",""
"","","","SEZ6L","","","","","","","","","",""
"","","","MIAT","","","","","","","","","",""
"","","","SEPT3","","","","","","","","","",""
"","","","SULT4A1","","","","","","","","","",""
"","","","PCSK1N","","","","","","","","","",""
"","","","BEX1","","","","","","","","","",""
"","","","TCEAL5","","","","","","","","","",""
"","","","IL13RA2","","","","","","","","","",""
"","","","ARHGAP36","","","","","","","","","",""
"","","","IGSF1","","","","","","","","","",""
"","","","L1CAM","","","","","","","","","",""
