"","A","B","C-1","C-2","D","E","F","G-1","G-2"
"MTND1P23","PLA2G2A","CELA3A","NCMAP","LGR6","HIST2H2BF","FCRL5","TNNT2","XIST","RPS4Y1"
"DAB1","CHI3L2","SPRR3","GRIK3","AC093390.1","ADAMTS4","CHIT1","XIRP2","","ZFY"
"GSTM1","CHI3L1","REG1A","CLDN19","SUSD5","SELE","IGKC","XIRP1","","PRKY"
"ITLN1","PTX3","CPB1","CYP4B1","ROBO2","RP11-373D23.2","IGKJ5","HHATL","","TTTY15"
"MYOC","SFRP2","PGC","CYP2J2","HAPLN1","CXCL8","IGKJ4","MYL3","","USP9Y"
"PRG4","NKD2","CPA1","KANK4","C5orf46","HIST1H2BG","IGKJ3","TNNC1","","DDX3Y"
"RP11-343H5.4","PCSK1","PRSS1","FOXD3-AS1","GRIA1","HSPA1B","IGKJ2","FBXO40","","UTY"
"ACTA1","CXCL14","PRSS2","FOXD3","GABRR1","AC005550.3","IGKJ1","MYL7","","NLGN4Y"
"LINC01291","PI16","PNLIP","MPZ","TMEM130","IL6","IGKV4-1","NRAP","","TTTY14"
"CXCL10","LINC01235","KRT4","ADORA1","TNFRSF11B","HILPDA","IGKV1-5","MYBPC3","","TXLNGY"
"RXFP1","CCL19","GP2","CNTN2","ATRNL1","STC1","IGKV1-9","MYL2","","RP11-424G14.1"
"HSPB3","CCL21","KRT13","G0S2","SYT12","C8orf4","IGKV3-11","MYH6","","KDM5D"
"ZFP57","IGF1","","TPO","ADAMTS8","HBB","IGKV3-15","MYH7","","EIF1AY"
"HLA-DQA2","GREM1","","VIT","C1QTNF8","HBD","IGKV3-20","COX6A2","",""
"HLA-DQB2","MT1A","","NRXN1","GSG1L","RND1","IGKV2-28","TCAP","",""
"TAC1","HP","","ACVR1C","CLEC18A","C2CD4B","IGKV1-39","NMRK2","",""
"PENK","LIPG","","SLC19A3","KRT16","HBA2","IL1R2","CKM","",""
"PI15","TNFSF14","","CHL1","SOST","HBA1","MARCO","TNNI3","",""
"ABRA","CTD-3128G10.7","","CIDEC","SLC14A1","CSF3","JCHAIN","EEF1A2","",""
"TNC","CPXM1","","SYN2","","HAS1","SPP1","MB","",""
"ANKRD1","LBP","","COL6A6","","LIF","RP11-184M15.1","SMPX","",""
"HPSE2","","","TF","","APLN","MZB1","","",""
"LUZP2","","","MME","","","TREM2","","",""
"CHRDL2","","","SOX2","","","ADAMDEC1","","",""
"SLN","","","ADIPOQ","","","MS4A1","","",""
"RP11-109L13.1","","","APOD","","","POU2AF1","","",""
"AQP2","","","NAT8L","","","CD163","","",""
"ACTC1","","","HTRA3","","","OLR1","","",""
"CYP1A1","","","KLB","","","SDS","","",""
"ACAN","","","BMP3","","","IGHA2","","",""
"RP11-958N24.2","","","C6","","","IGHG4","","",""
"NPIPB15","","","GFRA3","","","IGHG2","","",""
"GLP2R","","","TENM2","","","IGHGP","","",""
"CCDC144A","","","BTNL9","","","IGHA1","","",""
"USP32P1","","","KLHL31","","","IGHG1","","",""
"CTD-2303H24.2","","","CNR1","","","IGHG3","","",""
"SNORD3A","","","DACT2","","","IGHD","","",""
"STAC2","","","SLC29A4","","","IGHM","","",""
"CYP4F24P","","","MLXIPL","","","IGHJ4","","",""
"PDE4C","","","CD36","","","IGHV1-2","","",""
"CD177","","","AZGP1","","","IGHV3-7","","",""
"FOSB","","","RELN","","","IGHV3-15","","",""
"FAM83D","","","LEP","","","IGHV1-18","","",""
"SIK1","","","PRRT4","","","IGHV3-21","","",""
"C21orf33","","","MEST","","","IGHV3-23","","",""
"AP000350.5","","","LPL","","","IGHV3-30","","",""
"GPX1P1","","","SCARA5","","","IGHV3-33","","",""
"","","","XKR4","","","IGHV4-39","","",""
"","","","PMP2","","","IGHV3-48","","",""
"","","","FABP4","","","IGHV5-51","","",""
"","","","PKHD1L1","","","IGHV4-59","","",""
"","","","AQP7","","","IGHV3-74","","",""
"","","","CNTFR","","","AQP9","","",""
"","","","EPB41L4B","","","CEMIP","","",""
"","","","HMCN2","","","ALOX15B","","",""
"","","","LCN10","","","CCL18","","",""
"","","","RBP4","","","CCL4L2","","",""
"","","","SFRP5","","","ADCYAP1","","",""
"","","","SCD","","","ACP5","","",""
"","","","SORCS1","","","FCGBP","","",""
"","","","GPAM","","","CD79A","","",""
"","","","SAA2","","","APOC1","","",""
"","","","SAA1","","","APOC2","","",""
"","","","PAMR1","","","MMP9","","",""
"","","","LGALS12","","","IGLV1-51","","",""
"","","","DGAT2","","","IGLV1-47","","",""
"","","","THRSP","","","IGLV1-44","","",""
"","","","HEPACAM","","","IGLV1-40","","",""
"","","","PLEKHG6","","","IGLV3-25","","",""
"","","","MGST1","","","IGLV2-23","","",""
"","","","GPD1","","","IGLV3-21","","",""
"","","","ERBB3","","","IGLV3-19","","",""
"","","","HCAR2","","","IGLV2-14","","",""
"","","","TMEM132C","","","IGLV2-11","","",""
"","","","PRIMA1","","","IGLV2-8","","",""
"","","","DIO3OS","","","IGLV3-1","","",""
"","","","MYZAP","","","IGLC1","","",""
"","","","CILP","","","IGLC2","","",""
"","","","PLIN1","","","IGLC3","","",""
"","","","IRX6","","","VSIG4","","",""
"","","","MT3","","","","","",""
"","","","CALB2","","","","","",""
"","","","TUSC5","","","","","",""
"","","","ASPA","","","","","",""
"","","","CD300LG","","","","","",""
"","","","RP1-193H18.3","","","","","",""
"","","","FASN","","","","","",""
"","","","CIDEA","","","","","",""
"","","","CFD","","","","","",""
"","","","PLIN4","","","","","",""
"","","","PLIN5","","","","","",""
"","","","ANGPTL8","","","","","",""
"","","","ZNF536","","","","","",""
"","","","SLC7A10","","","","","",""
"","","","MAG","","","","","",""
"","","","LIPE","","","","","",""
"","","","TTYH1","","","","","",""
"","","","PCSK2","","","","","",""
"","","","BMP7","","","","","",""
"","","","PCK1","","","","","",""
"","","","CYP4F29P","","","","","",""
"","","","TFF3","","","","","",""
"","","","S100B","","","","","",""
"","","","FAM83F","","","","","",""
"","","","PNPLA3","","","","","",""
"","","","GYG2","","","","","",""
"","","","ACE2","","","","","",""
"","","","PFKFB1","","","","","",""
"","","","PLP1","","","","","",""
"","","","L1CAM","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
